epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,12904.5,1.6378,0.92832,1.44062,0.81346,0.79531,0.84715,0.44026,1.72518,0.82894,1.57098,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13304.4,1.63571,0.90949,1.43908,0.8141,0.80018,0.84873,0.44246,1.72447,0.82224,1.57129,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,13704.6,1.62473,0.89863,1.4332,0.81544,0.80714,0.85329,0.44585,1.72341,0.80965,1.57085,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,14103.9,1.61461,0.88775,1.43137,0.8204,0.80931,0.85484,0.44689,1.72734,0.80271,1.57432,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,14503.7,1.60999,0.88102,1.42399,0.82556,0.80469,0.8551,0.44756,1.72758,0.79672,1.57089,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,14899.8,1.6072,0.88238,1.42515,0.82778,0.80376,0.85651,0.44966,1.72002,0.79383,1.56622,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,15249.4,1.59232,0.85671,1.42074,0.82439,0.81312,0.85763,0.45067,1.7216,0.78454,1.56683,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,15596.4,1.58957,0.85335,1.41113,0.83071,0.81054,0.85898,0.45389,1.71912,0.77593,1.56548,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,15943.3,1.59019,0.85718,1.41149,0.82518,0.8172,0.86045,0.45494,1.71663,0.77451,1.56462,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,16289.3,1.58675,0.84653,1.41079,0.82214,0.82061,0.86245,0.45549,1.71928,0.76955,1.56786,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,16636.7,1.57687,0.84266,1.40474,0.82388,0.81981,0.86321,0.45603,1.71902,0.76829,1.56834,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,16982.9,1.56915,0.83348,1.39807,0.82719,0.81638,0.8632,0.45727,1.71924,0.76303,1.56833,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,17329.8,1.5633,0.82506,1.39236,0.82914,0.81649,0.86443,0.45715,1.7189,0.76171,1.56687,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,17735.2,1.55783,0.82009,1.39854,0.82527,0.82375,0.86563,0.45838,1.71857,0.75909,1.5681,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,18170.5,1.55207,0.81815,1.39403,0.82532,0.82363,0.86592,0.45895,1.7178,0.75752,1.56998,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,18597.7,1.54937,0.80683,1.38444,0.83089,0.82062,0.86715,0.45932,1.71721,0.7568,1.56849,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,19008,1.53897,0.80072,1.38087,0.83029,0.82098,0.86787,0.46015,1.71783,0.75428,1.5683,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,19408.2,1.53941,0.7986,1.37854,0.83164,0.82107,0.86731,0.46054,1.71729,0.75116,1.56807,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,19822.5,1.52266,0.78783,1.37338,0.82938,0.82378,0.86756,0.46074,1.71798,0.74844,1.5685,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,20270.5,1.52428,0.78406,1.36765,0.83109,0.82501,0.86951,0.46131,1.71906,0.74538,1.56876,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,20700.7,1.51864,0.77962,1.36626,0.83266,0.82628,0.87049,0.4615,1.71894,0.74333,1.56811,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,21121.9,1.51114,0.77509,1.36371,0.83341,0.8274,0.871,0.46151,1.7196,0.7422,1.56818,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,21529.9,1.49945,0.76972,1.3576,0.83193,0.828,0.87099,0.46173,1.72082,0.74061,1.56944,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,21922.5,1.50051,0.76565,1.35745,0.83183,0.82932,0.87159,0.46264,1.72106,0.73942,1.56923,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,22313.4,1.48987,0.75879,1.34981,0.83248,0.82926,0.87116,0.46288,1.72159,0.73781,1.56986,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,22706.5,1.48981,0.74704,1.35247,0.83185,0.82898,0.87037,0.46324,1.72228,0.73679,1.57058,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,23101.7,1.48091,0.75152,1.34138,0.83169,0.82913,0.87084,0.4638,1.72251,0.73542,1.57117,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,23526.5,1.47881,0.7434,1.34715,0.82992,0.82916,0.87117,0.46398,1.72317,0.73448,1.57223,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,23978.3,1.46629,0.74047,1.33965,0.82948,0.82841,0.87114,0.46401,1.72413,0.73282,1.57342,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,24369.8,1.4569,0.73318,1.33736,0.82945,0.82756,0.87147,0.4643,1.72441,0.73118,1.5743,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,24760.9,1.46149,0.73765,1.33417,0.83053,0.82816,0.87244,0.46448,1.72531,0.73011,1.57504,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,25153.9,1.44945,0.72074,1.3248,0.82882,0.82932,0.87226,0.46476,1.7256,0.72902,1.57546,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,25590.3,1.44312,0.71895,1.32871,0.82928,0.82855,0.87204,0.46481,1.72614,0.72819,1.57654,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,26021.9,1.43159,0.70766,1.32185,0.82907,0.82842,0.87204,0.4648,1.72639,0.7274,1.57699,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,26449.1,1.42305,0.70651,1.32,0.82952,0.82778,0.87252,0.4652,1.72675,0.72671,1.57779,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,26886.8,1.42289,0.70438,1.31797,0.82768,0.82813,0.87271,0.46535,1.72728,0.72573,1.57867,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,27346.4,1.41719,0.70194,1.31383,0.82819,0.8295,0.87354,0.46559,1.72795,0.72477,1.57941,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,27843.5,1.41469,0.69726,1.30299,0.8275,0.82874,0.87371,0.46559,1.72829,0.72401,1.58,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,28338.3,1.4006,0.69229,1.30037,0.8285,0.82851,0.87413,0.46553,1.72881,0.72322,1.58082,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,28835.2,1.39151,0.68394,1.29975,0.82855,0.82946,0.87368,0.46555,1.72929,0.72257,1.5816,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,29332.7,1.38748,0.68444,1.29549,0.83,0.82818,0.87425,0.46587,1.73003,0.72211,1.58285,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,29829.2,1.38741,0.68283,1.29618,0.8297,0.82844,0.87404,0.46605,1.73062,0.72131,1.58372,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,30327.6,1.37458,0.67765,1.29171,0.82952,0.82845,0.87407,0.46625,1.73149,0.72044,1.58494,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,30824.6,1.36864,0.66893,1.28277,0.82931,0.82828,0.87441,0.46628,1.73235,0.72015,1.58556,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,31323.3,1.36417,0.66328,1.28333,0.82851,0.82828,0.87407,0.46597,1.73282,0.71943,1.58622,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,31821.7,1.35143,0.65814,1.27525,0.82824,0.82763,0.87376,0.46586,1.73374,0.71888,1.58702,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,32320.7,1.34418,0.65321,1.2709,0.82794,0.82738,0.87352,0.46606,1.73481,0.71802,1.58807,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,32817.9,1.33218,0.64888,1.26554,0.8274,0.82757,0.87339,0.46603,1.73554,0.71775,1.58886,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,33206.6,1.32814,0.64648,1.25861,0.82615,0.82858,0.87363,0.46556,1.73586,0.71753,1.58926,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,33586.2,1.32584,0.63934,1.26352,0.82668,0.82731,0.87371,0.4659,1.7368,0.717,1.59015,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,33984,1.31335,0.63622,1.25804,0.82643,0.82727,0.87388,0.46583,1.73762,0.71637,1.59128,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,34390.1,1.30474,0.63254,1.24812,0.82685,0.82636,0.87371,0.46588,1.7387,0.71597,1.59267,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,34796,1.30159,0.63117,1.25107,0.82764,0.82567,0.87389,0.46621,1.73954,0.71545,1.59355,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,35204.5,1.29411,0.6249,1.24634,0.82863,0.82531,0.87386,0.4661,1.74052,0.71481,1.59459,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
