epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6793.2,1.84664,1.18909,1.4959,0.74626,0.68418,0.73422,0.34202,1.91256,1.08755,1.59972,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7002.04,1.83793,1.17055,1.49396,0.7427,0.68482,0.73599,0.34495,1.91135,1.07468,1.60119,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7210.37,1.83537,1.16836,1.48924,0.75109,0.6914,0.74401,0.34861,1.90365,1.06459,1.59393,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7419.21,1.83194,1.15857,1.48553,0.74886,0.70339,0.74888,0.35033,1.90742,1.05319,1.59804,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7627.31,1.81959,1.14627,1.47374,0.75696,0.70354,0.75192,0.35287,1.90287,1.04723,1.59015,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7836.03,1.82408,1.15367,1.48187,0.75296,0.71037,0.75564,0.35561,1.90028,1.03248,1.5922,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8044.29,1.81509,1.13452,1.47763,0.7621,0.70922,0.75752,0.35771,1.89805,1.02955,1.59125,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8251.97,1.80742,1.11966,1.46939,0.7592,0.71629,0.75907,0.35825,1.90648,1.02333,1.59435,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8460.27,1.8037,1.111,1.46363,0.76281,0.718,0.76095,0.35909,1.90327,1.01707,1.58792,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8668.93,1.80211,1.10864,1.46661,0.76759,0.72094,0.76429,0.36038,1.90356,1.00847,1.59096,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8876.64,1.78754,1.08857,1.45635,0.76901,0.72328,0.76907,0.363,1.90206,1.00262,1.58925,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9084.28,1.78787,1.08998,1.45883,0.76604,0.72568,0.76799,0.36367,1.8997,1.00023,1.58758,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9292.47,1.77695,1.07536,1.44764,0.76856,0.72225,0.76964,0.36568,1.89722,0.99931,1.58292,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9499.98,1.77499,1.06485,1.44836,0.7722,0.72797,0.77192,0.36629,1.89792,0.99515,1.58595,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9707.69,1.77263,1.06705,1.44829,0.77803,0.72449,0.77279,0.36752,1.8986,0.9888,1.58642,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,9914.87,1.7687,1.05881,1.4353,0.778,0.72589,0.77528,0.36877,1.8974,0.98463,1.58287,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10123.1,1.76158,1.05274,1.44079,0.77726,0.72673,0.77658,0.37002,1.89721,0.97893,1.5833,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10330.9,1.76316,1.0435,1.43697,0.77882,0.72882,0.77752,0.37131,1.89647,0.97442,1.58398,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10538.8,1.74704,1.03792,1.42464,0.77938,0.73009,0.7785,0.37167,1.89744,0.97141,1.58596,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,10746.8,1.74709,1.0323,1.42518,0.7787,0.73111,0.77877,0.37216,1.89766,0.96958,1.58602,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10954.9,1.73724,1.02491,1.42871,0.77691,0.73296,0.77961,0.37279,1.89741,0.96712,1.58756,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,11163.2,1.73357,1.01305,1.42165,0.77804,0.73256,0.77985,0.37292,1.89854,0.96498,1.58886,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,11372.1,1.72592,1.01194,1.42102,0.77652,0.73605,0.78025,0.37331,1.89939,0.96381,1.59093,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,11580.3,1.72486,1.00339,1.41825,0.77447,0.73829,0.78067,0.37346,1.89984,0.96149,1.59059,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,11788.1,1.71931,0.99917,1.41154,0.77372,0.73717,0.7809,0.37377,1.89985,0.95958,1.59039,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11994.7,1.71381,0.99258,1.40785,0.77226,0.73735,0.78091,0.37356,1.90038,0.9579,1.59066,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,12203.5,1.70668,0.98325,1.40285,0.77344,0.73628,0.78111,0.37417,1.90224,0.95525,1.59224,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,12412.2,1.70852,0.98073,1.40858,0.77501,0.73518,0.781,0.37458,1.90239,0.95354,1.59216,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,12620.2,1.70136,0.9797,1.39901,0.77743,0.73755,0.78143,0.37484,1.90286,0.95238,1.59223,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,12829.2,1.69294,0.96588,1.39562,0.7785,0.73815,0.78222,0.37506,1.9034,0.95031,1.59289,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,13036.4,1.68062,0.96045,1.39509,0.77828,0.73779,0.78222,0.37508,1.90445,0.94851,1.59321,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,13243.3,1.6783,0.95674,1.39046,0.77697,0.73825,0.78208,0.3752,1.90565,0.94676,1.59481,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,13450.5,1.66761,0.94687,1.38771,0.77656,0.73799,0.78239,0.37549,1.90562,0.94538,1.59516,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,13658.4,1.67079,0.9442,1.38619,0.77682,0.73906,0.78271,0.37582,1.9057,0.94391,1.59567,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,13865.5,1.66224,0.94789,1.3845,0.77576,0.74123,0.7829,0.37601,1.90599,0.94279,1.59669,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,14072,1.66171,0.94084,1.37927,0.77668,0.74165,0.78358,0.37628,1.90667,0.94142,1.5973,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,14279.7,1.65619,0.93076,1.37555,0.77536,0.74231,0.78367,0.37614,1.90729,0.94023,1.59835,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,14486.6,1.64476,0.92361,1.36503,0.77503,0.742,0.78378,0.37627,1.90805,0.93947,1.59884,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,14693.9,1.63886,0.91808,1.35967,0.7746,0.74244,0.78357,0.37627,1.90882,0.93866,1.5989,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,14901.8,1.63345,0.90915,1.3564,0.77513,0.74229,0.78363,0.37635,1.9094,0.93782,1.5989,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,15108.8,1.62766,0.90847,1.36027,0.77427,0.74222,0.78397,0.37669,1.90965,0.93718,1.5988,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,15315.9,1.62419,0.90698,1.35776,0.77421,0.74162,0.78368,0.37676,1.91034,0.936,1.59937,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,15523.5,1.61771,0.90317,1.36021,0.77487,0.74184,0.78428,0.37681,1.91084,0.93469,1.60005,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,15730,1.60186,0.89493,1.3459,0.77461,0.74112,0.78449,0.37701,1.91136,0.93388,1.60035,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
