epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10627.5,1.96123,1.45076,1.47836,0.68695,0.60128,0.65426,0.29353,1.93519,1.29294,1.48359,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10920.9,1.96352,1.44136,1.47533,0.68373,0.60936,0.6586,0.29746,1.93367,1.27714,1.48332,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,11221.8,1.95247,1.42651,1.4735,0.68364,0.61345,0.66372,0.29973,1.93077,1.2645,1.48265,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,11515.5,1.95312,1.41513,1.46591,0.69049,0.61909,0.66741,0.30137,1.92704,1.25484,1.47418,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11781.3,1.95061,1.40829,1.46943,0.69742,0.62215,0.67356,0.30517,1.92646,1.2457,1.4746,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,12081.4,1.95049,1.39692,1.46451,0.69592,0.63113,0.67811,0.30746,1.9252,1.23365,1.47327,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,12337.7,1.94422,1.39255,1.4578,0.70295,0.63212,0.68431,0.30971,1.92229,1.22494,1.46837,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,12603.3,1.93366,1.37653,1.45139,0.7068,0.63477,0.68762,0.31273,1.91847,1.21724,1.46013,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12901.7,1.93861,1.37396,1.44795,0.70685,0.63525,0.68945,0.3135,1.91758,1.21164,1.4576,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,13217.3,1.93819,1.37133,1.4512,0.71581,0.63534,0.69302,0.31544,1.91578,1.20474,1.45611,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,13496.9,1.93521,1.36196,1.44641,0.71403,0.64012,0.69546,0.31773,1.91407,1.19718,1.4555,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,13746.3,1.93189,1.35932,1.44162,0.71701,0.64534,0.69949,0.32023,1.91205,1.18999,1.45354,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13999.8,1.92801,1.34847,1.44292,0.72088,0.64665,0.7031,0.3227,1.90942,1.18226,1.45163,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,14259.4,1.9243,1.33746,1.44127,0.72135,0.64766,0.70441,0.32383,1.90866,1.17472,1.4497,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14520.6,1.9205,1.32631,1.43433,0.72367,0.65115,0.70696,0.32535,1.90781,1.16788,1.44724,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14784.8,1.91362,1.31912,1.43404,0.72775,0.65136,0.709,0.32604,1.90753,1.16101,1.44699,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,15063.3,1.91634,1.31897,1.43486,0.72911,0.65446,0.71113,0.32769,1.90734,1.15547,1.4476,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15316.4,1.91108,1.30575,1.43401,0.73122,0.65793,0.71344,0.32861,1.90595,1.14998,1.44635,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15554.2,1.9158,1.30648,1.42874,0.73224,0.65961,0.71552,0.32978,1.90473,1.14621,1.44523,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,15795.1,1.90579,1.28493,1.42043,0.73447,0.66325,0.71843,0.3311,1.90439,1.14167,1.44366,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,16053,1.89914,1.27903,1.41924,0.73532,0.66275,0.71895,0.3319,1.90421,1.13719,1.44328,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,16310.2,1.89969,1.27245,1.41557,0.73795,0.66218,0.71991,0.33321,1.90355,1.13419,1.44187,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,16570.5,1.8997,1.27741,1.41648,0.73822,0.66532,0.72242,0.33453,1.90283,1.1302,1.4409,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,16833.3,1.88316,1.25594,1.40871,0.73761,0.6675,0.72393,0.33536,1.90236,1.12679,1.44023,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,17087.7,1.89414,1.26699,1.41096,0.73507,0.67076,0.7249,0.336,1.90198,1.12332,1.43939,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17348.6,1.8838,1.24529,1.40692,0.73743,0.67159,0.72679,0.33699,1.90211,1.11974,1.43915,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,17620.3,1.88765,1.24825,1.41299,0.73433,0.67518,0.72802,0.3376,1.90172,1.1168,1.43866,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,17887.3,1.89158,1.25001,1.40928,0.73779,0.67528,0.72892,0.33851,1.9013,1.11391,1.43781,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,18145.8,1.87968,1.23596,1.40565,0.73788,0.6761,0.72957,0.33918,1.90123,1.11065,1.43738,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,18409.5,1.87645,1.2341,1.40117,0.74003,0.67764,0.73091,0.33991,1.90109,1.10814,1.437,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,18646.1,1.87358,1.22616,1.40291,0.74074,0.67901,0.732,0.34057,1.90081,1.10572,1.43635,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,18878,1.87214,1.21889,1.39965,0.74186,0.68142,0.73338,0.34113,1.90049,1.10355,1.43583,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,19111.2,1.86562,1.2142,1.39746,0.74391,0.68179,0.7337,0.34153,1.90016,1.10125,1.43548,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,19342.5,1.86813,1.21123,1.39948,0.74387,0.68332,0.73452,0.34198,1.89993,1.09881,1.43542,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,19575.4,1.86437,1.20525,1.39258,0.74528,0.6841,0.73552,0.34247,1.89946,1.09674,1.4349,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,19810.8,1.86323,1.19919,1.39105,0.74598,0.68543,0.73651,0.34291,1.89908,1.09441,1.43452,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,20043.5,1.85593,1.19167,1.38656,0.74642,0.68589,0.73727,0.34346,1.89883,1.09243,1.4341,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,20276.8,1.85562,1.18528,1.38378,0.74641,0.68555,0.73762,0.34389,1.89851,1.09075,1.43372,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,20509.4,1.84803,1.17346,1.38151,0.74796,0.68656,0.73845,0.34439,1.89854,1.08845,1.43353,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,20741.4,1.84783,1.17823,1.37749,0.74873,0.68747,0.73901,0.34482,1.89819,1.08651,1.43309,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,20973.3,1.84307,1.17458,1.38346,0.7501,0.68693,0.73962,0.34521,1.89797,1.08453,1.43289,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,21205,1.84801,1.17405,1.37638,0.75072,0.68706,0.74016,0.34574,1.89745,1.08248,1.43248,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,21437.3,1.83475,1.15301,1.37263,0.75083,0.68728,0.74062,0.34626,1.89691,1.08066,1.43211,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,21668.8,1.83169,1.15251,1.3763,0.75163,0.68817,0.74148,0.34676,1.89636,1.07874,1.43175,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,21903.2,1.83517,1.1528,1.3749,0.75257,0.68824,0.74182,0.34751,1.89591,1.07716,1.43153,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,22133.7,1.82743,1.13777,1.367,0.75345,0.68903,0.74302,0.34806,1.89557,1.07531,1.43098,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,22365.5,1.81817,1.13247,1.37045,0.75512,0.68992,0.74362,0.34864,1.89555,1.07361,1.43079,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,22596.9,1.82678,1.13678,1.36631,0.75554,0.69094,0.7441,0.34904,1.89509,1.07185,1.43031,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,22827.6,1.81739,1.13008,1.365,0.7556,0.69126,0.74429,0.34946,1.89471,1.07037,1.42973,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,23058.9,1.81417,1.12107,1.35825,0.7565,0.69052,0.74436,0.34992,1.89465,1.06851,1.42941,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,23290.5,1.81941,1.12736,1.36366,0.75808,0.69066,0.74497,0.35024,1.89441,1.06701,1.42911,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,23529.3,1.8085,1.11614,1.35883,0.75851,0.69174,0.74586,0.35065,1.89401,1.06519,1.42854,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,23761.8,1.816,1.11387,1.3559,0.75959,0.69262,0.74645,0.35113,1.89378,1.06329,1.42812,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,23996,1.80959,1.10635,1.35767,0.76154,0.69116,0.74683,0.35139,1.89349,1.0618,1.42779,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,24229.7,1.79892,1.10164,1.34661,0.76149,0.69263,0.74742,0.35194,1.89339,1.06026,1.42729,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,24463.3,1.79934,1.09642,1.34746,0.76187,0.69253,0.74788,0.35204,1.8935,1.05855,1.42694,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
